Date,Market,Chain,Product,Return,Sum
2023-03-24,Сансар,Сансар BZ Товчоо,446400.0,14400.0,460800.0
2023-03-27,Сансар,Сансар 21,388800.0,57600.0,446400.0
2023-03-30,Сансар,Сансар Өвөрхангай,,72000.0,
2023-03-31,Сансар,Сансар 1 түннэл,446400.0,14400.0,460800.0
2023-03-31,Сансар,Сансар 13,576000.0,57600.0,633600.0
2023-04-03,Сансар,Сансар 15,302400.0,86400.0,388800.0
2023-04-03,Сансар,Сансар 34 Яармаг,360000.0,14400.0,374400.0
2023-04-03,Сансар,Сансар 38 Ханбогд,460800.0,57600.0,518400.0
2023-04-06,Сансар,Сансар 8 Чулуун-Овоо,230400.0,187200.0,417600.0
2023-04-12,Сансар,Сансар 6 /5шар/,273600.0,43200.0,316800.0
2023-04-12,Сансар,Сансар 42 Толгойт,216000.0,43200.0,259200.0
2023-04-13,Сансар,Сансар 1,144000.0,14400.0,158400.0
2023-04-13,Сансар,Сансар 13,72000.0,,
2023-04-15,Сансар,Сансар 26 Олимп хор,403200.0,,
2023-04-17,Сансар,Сансар 34 Яармаг,187200.0,,
2023-04-20,Сансар,Сансар 21 Содон хор,489600.0,72000.0,561600.0
2023-04-21,Сансар,Сансар 26 Олимп хор,244800.0,,
2023-04-24,Сансар,Сансар 25 УБ Их Сургууль,115200.0,,
2023-04-26,Сансар,Сансар 34 Яармаг,1008000.0,57600.0,1065600.0
2023-04-26,Сансар,Сансар 38 Ханбогд,417600.0,43200.0,460800.0
2023-04-27,Сансар,Сансар 15 Наадам,244800.0,28800.0,273600.0
2023-04-27,Сансар,Сансар 13,964800.0,,
2023-04-27,Сансар,Сансар BZ Товчоо,201600.0,72000.0,273600.0
2023-04-28,Сансар,Сансар 17,374400.0,43200.0,417600.0
2023-04-29,Сансар,Сансар 26,273600.0,86400.0,360000.0
2023-01-04,Мд,Мд Нисэх,201600.0,72000.0,273600.0
2023-01-05,Мд,Мд 117 Далай Ээж,316800.0,43200.0,360000.0
2023-01-06,Мд,Мд 125,705600.0,57600.0,763200.0
2023-01-06,Мд,Мд зайсан,547200.0,72000.0,619200.0
2023-01-12,Мд,Мд 117 Далай Ээж,417600.0,28800.0,446400.0
2023-01-13,Мд,Мд зайсан,259200.0,,
2023-01-15,Мд,Мд 125,129600.0,43200.0,172800.0
2023-01-16,Мд,Мд 110,316800.0,86400.0,403200.0
2023-01-20,Мд,Мд 112 Саппоро,403200.0,86400.0,489600.0
2023-01-20,Мд,Мд 108 Зайсан,172800.0,14400.0,187200.0
